Id,Start_c,end_c,start_epoch,end_epock
6,31958,33640,1592863687,1592865369
5,34158,35040,1592865887,1592866769
6,34158,35040,1592865887,1592866769
7,34158,35040,1592865887,1592866769
11,34158,35040,1592865887,1592866769
14,34158,35041,1592865887,1592866770
13,34038,35160,1592865767,1592866889
0,34157,35439,1592865886,1592867168
1,34157,35439,1592865886,1592867168
2,34157,35439,1592865886,1592867168
8,34158,35440,1592865887,1592867169
9,34038,35440,1592865767,1592867169
10,34158,35440,1592865887,1592867169
12,34038,35440,1592865767,1592867169
15,34159,35441,1592865888,1592867170
3,36756,37638,1592868485,1592869367
4,36357,37639,1592868086,1592869368
14,36238,37640,1592867967,1592869369
0,35556,38238,1592867285,1592869967
1,35557,38238,1592867286,1592869967
2,35557,38238,1592867286,1592869967
5,35557,38238,1592867286,1592869967
6,35557,38239,1592867286,1592869968
7,35557,38239,1592867286,1592869968
13,35558,38239,1592867287,1592869968
15,35558,38239,1592867287,1592869968
14,37757,38639,1592869486,1592870368
8,35557,38958,1592867286,1592870687
9,35557,38958,1592867286,1592870687
10,35557,38959,1592867286,1592870688
11,35558,38959,1592867287,1592870688
12,35558,38959,1592867287,1592870688
0,40155,41037,1592871884,1592872766
8,40155,41038,1592871884,1592872767
9,40156,41038,1592871885,1592872767
10,40156,41038,1592871885,1592872767
11,40156,41038,1592871885,1592872767
12,40156,41038,1592871885,1592872767
7,41635,42837,1592873364,1592874566
1,44353,45435,1592876082,1592877164
4,44353,45436,1592876082,1592877165
5,44353,45436,1592876082,1592877165
6,44354,45436,1592876083,1592877165
7,44354,45436,1592876083,1592877165
14,44354,45436,1592876083,1592877165
15,44354,45437,1592876083,1592877166
0,44353,45555,1592876082,1592877284
2,44353,45555,1592876082,1592877284
8,44354,45556,1592876083,1592877285
9,44354,45556,1592876083,1592877285
10,44354,45556,1592876083,1592877285
11,44354,45556,1592876083,1592877285
12,44354,45556,1592876083,1592877285
13,44354,45556,1592876083,1592877285
0,48151,49833,1592879880,1592881562
1,48151,49834,1592879880,1592881563
2,48152,49834,1592879881,1592881563
6,47952,49834,1592879681,1592881563
7,48152,49834,1592879881,1592881563
11,47953,49834,1592879682,1592881563
13,47953,49835,1592879682,1592881564
14,48153,49835,1592879882,1592881564
4,50151,51033,1592881880,1592882762
2,50151,51833,1592881880,1592883562
3,50951,51833,1592882680,1592883562
14,50152,51834,1592881881,1592883563
15,48153,51834,1592879882,1592883563
1,50151,52232,1592881880,1592883961
11,50152,52233,1592881881,1592883962
13,50152,52234,1592881881,1592883963
0,50151,53232,1592881880,1592884961
1,52350,53232,1592884079,1592884961
2,52350,53232,1592884079,1592884961
5,47952,53233,1592879681,1592884962
6,50151,53233,1592881880,1592884962
7,50151,53233,1592881880,1592884962
8,47952,53233,1592879681,1592884962
9,47952,53233,1592879681,1592884962
10,47952,53233,1592879681,1592884962
11,52351,53233,1592884080,1592884962
12,47953,53233,1592879682,1592884962
13,52351,53233,1592884080,1592884962
14,52351,53234,1592884080,1592884963
15,52351,53234,1592884080,1592884963
3,54549,55951,1592886278,1592887680
15,53751,55952,1592885480,1592887681
7,53750,56071,1592885479,1592887800
0,53349,56151,1592885078,1592887880
1,53749,56151,1592885478,1592887880
2,53749,56151,1592885478,1592887880
4,53750,56151,1592885479,1592887880
5,53750,56151,1592885479,1592887880
6,53750,56151,1592885479,1592887880
8,53350,56152,1592885079,1592887881
9,53350,56152,1592885079,1592887881
10,53350,56152,1592885079,1592887881
11,53630,56152,1592885359,1592887881
12,53351,56152,1592885080,1592887881
13,53750,56152,1592885479,1592887881
2,56468,57750,1592888197,1592889479
14,53751,57751,1592885480,1592889480
5,56469,57950,1592888198,1592889679
13,56469,57951,1592888198,1592889680
15,56470,57951,1592888199,1592889680
0,57348,58270,1592889077,1592889999
1,56468,58270,1592888197,1592889999
8,56469,58351,1592888198,1592890080
9,56469,58351,1592888198,1592890080
10,56469,58351,1592888198,1592890080
11,56469,58351,1592888198,1592890080
12,56469,58351,1592888198,1592890080
6,56469,58550,1592888198,1592890279
7,56469,58551,1592888198,1592890280
4,58668,60549,1592890397,1592892278
0,58667,61349,1592890396,1592893078
1,58667,61349,1592890396,1592893078
2,58667,61349,1592890396,1592893078
7,58668,61349,1592890397,1592893078
14,58669,61350,1592890398,1592893079
15,58669,61350,1592890398,1592893079
8,58668,62149,1592890397,1592893878
9,58668,62149,1592890397,1592893878
10,58668,62149,1592890397,1592893878
11,58668,62149,1592890397,1592893878
5,58668,62549,1592890397,1592894278
6,58668,62549,1592890397,1592894278
7,61667,62549,1592893396,1592894278
12,58668,62549,1592890397,1592894278
13,58669,62550,1592890398,1592894279
15,61668,62550,1592893397,1592894279
7,76861,77743,1592908590,1592909472
15,76861,77744,1592908590,1592909473
2,80459,81341,1592912188,1592913070
5,80459,81341,1592912188,1592913070
6,80459,81341,1592912188,1592913070
7,80059,81341,1592911788,1592913070
12,80460,81342,1592912189,1592913071
15,80460,81342,1592912189,1592913071
7,81659,82541,1592913388,1592914270
13,80460,83061,1592912189,1592914790
15,81660,83141,1592913389,1592914870
14,80460,83341,1592912189,1592915070
7,83658,84540,1592915387,1592916269
0,85656,87138,1592917385,1592918867
1,85656,87139,1592917385,1592918868
2,85657,87139,1592917386,1592918868
3,85657,87139,1592917386,1592918868
4,85657,87139,1592917386,1592918868
5,85657,87139,1592917386,1592918868
6,85657,87139,1592917386,1592918868
8,85657,87139,1592917386,1592918868
9,85657,87139,1592917386,1592918868
10,85657,87140,1592917386,1592918869
11,85658,87140,1592917387,1592918869
12,85658,87140,1592917387,1592918869
13,85658,87140,1592917387,1592918869
14,85658,87140,1592917387,1592918869
15,85658,87140,1592917387,1592918869
0,87536,88858,1592919265,1592920587
1,87536,88858,1592919265,1592920587
3,87656,88858,1592919385,1592920587
4,87656,88858,1592919385,1592920587
10,87537,88859,1592919266,1592920588
11,87537,88859,1592919266,1592920588
13,87657,88859,1592919386,1592920588
14,87657,88859,1592919386,1592920588
15,87457,88859,1592919186,1592920588
8,87536,88938,1592919265,1592920667
9,87537,88938,1592919266,1592920667
6,87456,89258,1592919185,1592920987
7,85657,89258,1592917386,1592920987
12,87457,89259,1592919186,1592920988
2,87656,89338,1592919385,1592921067
5,87456,89338,1592919185,1592921067
0,89255,90337,1592920984,1592922066
9,90655,91537,1592922384,1592923266
7,90855,91737,1592922584,1592923466
0,92854,93736,1592924583,1592925465
5,92854,93736,1592924583,1592925465
6,92854,93736,1592924583,1592925465
7,92854,93737,1592924583,1592925466
8,92854,93737,1592924583,1592925466
9,92854,93737,1592924583,1592925466
10,92855,93737,1592924584,1592925466
11,92855,93737,1592924584,1592925466
12,92855,93737,1592924584,1592925466
13,92855,93737,1592924584,1592925466
15,92855,93737,1592924584,1592925466
0,94933,96135,1592926662,1592927864
7,95253,96136,1592926982,1592927865
2,98851,99734,1592930580,1592931463
14,100332,101254,1592932061,1592932983
15,98853,101254,1592930582,1592932983
8,99732,101333,1592931461,1592933062
9,98852,101334,1592930581,1592933063
10,98852,101334,1592930581,1592933063
11,98852,101334,1592930581,1592933063
12,98852,101334,1592930581,1592933063
13,98852,101334,1592930581,1592933063
5,98852,101733,1592930581,1592933462
0,100331,102732,1592932060,1592934461
13,101851,102733,1592933580,1592934462
15,101851,102734,1592933580,1592934463
4,102850,103732,1592934579,1592935461
8,101851,103733,1592933580,1592935462
10,101851,103733,1592933580,1592935462
11,101851,103733,1592933580,1592935462
13,102851,103733,1592934580,1592935462
14,102851,103733,1592934580,1592935462
15,102851,103733,1592934580,1592935462
5,101850,103932,1592933579,1592935661
12,101851,103933,1592933580,1592935662
0,102849,104132,1592934578,1592935861
1,100331,104132,1592932060,1592935861
2,100331,104132,1592932060,1592935861
6,98852,104132,1592930581,1592935861
7,98852,104132,1592930581,1592935861
9,101851,104133,1592933580,1592935862
3,102850,104372,1592934579,1592936101
2,107968,108850,1592939697,1592940579
3,108647,109650,1592940376,1592941379
4,108648,109770,1592940377,1592941499
0,107967,110849,1592939696,1592942578
1,109967,110849,1592941696,1592942578
2,109967,110849,1592941696,1592942578
5,108648,110850,1592940377,1592942579
6,107968,110850,1592939697,1592942579
7,107968,110850,1592939697,1592942579
13,109168,110850,1592940897,1592942579
14,109168,110850,1592940897,1592942579
15,109168,110850,1592940897,1592942579
3,112366,113248,1592944095,1592944977
0,110966,113448,1592942695,1592945177
1,112366,113448,1592944095,1592945177
2,112366,113448,1592944095,1592945177
4,112366,113448,1592944095,1592945177
6,110967,113449,1592942696,1592945178
7,111047,113449,1592942776,1592945178
14,112367,113449,1592944096,1592945178
2,113645,114568,1592945374,1592946297
0,113965,114847,1592945694,1592946576
1,113645,114847,1592945374,1592946576
5,110967,115248,1592942696,1592946977
6,113646,115248,1592945375,1592946977
8,109168,115248,1592940897,1592946977
10,108248,115248,1592939977,1592946977
11,109168,115248,1592940897,1592946977
13,110968,115248,1592942697,1592946977
14,113647,115249,1592945376,1592946978
0,115564,116447,1592947293,1592948176
1,115565,116447,1592947294,1592948176
2,115565,116447,1592947294,1592948176
5,115565,116447,1592947294,1592948176
6,115565,116447,1592947294,1592948176
7,113646,116447,1592945375,1592948176
8,115565,116448,1592947294,1592948177
11,115566,116448,1592947295,1592948177
13,115566,116448,1592947295,1592948177
15,110968,116448,1592942697,1592948177
1,116764,117646,1592948493,1592949375
6,116565,117647,1592948294,1592949376
7,116565,117647,1592948294,1592949376
8,116565,117647,1592948294,1592949376
11,116565,117647,1592948294,1592949376
13,116565,117648,1592948294,1592949377
15,116566,117648,1592948295,1592949377
9,108248,117847,1592939977,1592949576
10,115565,117847,1592947294,1592949576
12,108249,117847,1592939978,1592949576
7,118364,119246,1592950093,1592950975
1,119963,120845,1592951692,1592952574
0,119363,121645,1592951092,1592953374
2,120763,121645,1592952492,1592953374
4,120763,121645,1592952492,1592953374
5,120563,121645,1592952292,1592953374
3,121962,122844,1592953691,1592954573
8,119963,123045,1592951692,1592954774
14,120564,123045,1592952293,1592954774
0,123361,124244,1592955090,1592955973
1,122162,124244,1592953891,1592955973
2,121962,124244,1592953691,1592955973
3,123362,124244,1592955091,1592955973
4,123362,124244,1592955091,1592955973
5,121962,124244,1592953691,1592955973
6,119563,124244,1592951292,1592955973
7,119564,124244,1592951293,1592955973
8,123362,124245,1592955091,1592955974
9,119964,124245,1592951693,1592955974
10,119964,124245,1592951693,1592955974
11,119964,124245,1592951693,1592955974
12,119964,124245,1592951693,1592955974
13,119564,124245,1592951293,1592955974
14,123363,124245,1592955092,1592955974
15,119564,124245,1592951293,1592955974
9,128040,128962,1592959769,1592960691
5,129359,130242,1592961088,1592961971
9,129360,130242,1592961089,1592961971
13,129360,130242,1592961089,1592961971
0,129839,130761,1592961568,1592962490
6,129360,130762,1592961089,1592962491
7,129360,130762,1592961089,1592962491
12,129360,130762,1592961089,1592962491
6,131159,132041,1592962888,1592963770
7,131159,132041,1592962888,1592963770
0,131038,132240,1592962767,1592963969
5,131559,132441,1592963288,1592964170
1,132558,134240,1592964287,1592965969
14,132759,134241,1592964488,1592965970
15,131360,134241,1592963089,1592965970
15,134358,135440,1592966087,1592967169
7,132558,136239,1592964287,1592967968
14,134358,136560,1592966087,1592968289
1,134357,137238,1592966086,1592968967
2,132558,137239,1592964287,1592968968
3,133757,137239,1592965486,1592968968
0,133357,137358,1592965086,1592969087
11,132759,138359,1592964488,1592970088
8,133358,138758,1592965087,1592970487
9,132559,138759,1592964288,1592970488
10,132559,138759,1592964288,1592970488
12,132559,138759,1592964288,1592970488
13,132559,138759,1592964288,1592970488
14,136637,138759,1592968366,1592970488
15,137557,138759,1592969286,1592970488
0,137756,139637,1592969485,1592971366
1,137756,139638,1592969485,1592971367
2,137636,139638,1592969365,1592971367
3,137556,139638,1592969285,1592971367
5,133838,140238,1592965567,1592971967
7,136637,140238,1592968366,1592971967
4,134637,140357,1592966366,1592972086
6,132758,140438,1592964487,1592972167
9,138956,140438,1592970685,1592972167
8,138836,140558,1592970565,1592972287
4,141035,142037,1592972764,1592973766
5,141035,142037,1592972764,1592973766
8,140955,142037,1592972684,1592973766
9,140955,142037,1592972684,1592973766
10,141155,142037,1592972884,1592973766
11,141035,142038,1592972764,1592973767
12,141035,142038,1592972764,1592973767
13,141155,142038,1592972884,1592973767
14,140036,142038,1592971765,1592973767
1,141154,142156,1592972883,1592973885
2,141154,142157,1592972883,1592973886
3,141154,142157,1592972883,1592973886
15,139956,142158,1592971685,1592973887
6,141155,142237,1592972884,1592973966
7,141155,142237,1592972884,1592973966
4,143953,144836,1592975682,1592976565
5,143954,144836,1592975683,1592976565
6,143954,144836,1592975683,1592976565
13,143954,144837,1592975683,1592976566
7,143954,145236,1592975683,1592976965
0,143953,145955,1592975682,1592977684
7,145633,146955,1592977362,1592978684
4,146552,147435,1592978281,1592979164
5,146553,147435,1592978282,1592979164
13,146553,147435,1592978282,1592979164
0,148231,149433,1592979960,1592981162
7,148232,150234,1592979961,1592981963
1,150950,151833,1592982679,1592983562
8,150951,151833,1592982680,1592983562
4,150951,152353,1592982680,1592984082
5,150951,152353,1592982680,1592984082
6,150951,152353,1592982680,1592984082
7,150951,152353,1592982680,1592984082
9,150951,152353,1592982680,1592984082
10,150951,152353,1592982680,1592984082
11,150951,152353,1592982680,1592984082
12,150951,152354,1592982680,1592984083
13,150952,152354,1592982681,1592984083
14,150952,152354,1592982681,1592984083
15,150952,152354,1592982681,1592984083
0,150750,152632,1592982479,1592984361
0,155468,156351,1592987197,1592988080
7,157468,160470,1592989197,1592992199
4,160267,161149,1592991996,1592992878
5,160267,161149,1592991996,1592992878
11,160268,161150,1592991997,1592992879
12,160268,161150,1592991997,1592992879
13,160268,161150,1592991997,1592992879
14,160268,161150,1592991997,1592992879
15,160268,161150,1592991997,1592992879
0,162466,163668,1592994195,1592995397
10,161667,163869,1592993396,1592995598
11,161667,163869,1592993396,1592995598
12,162347,163869,1592994076,1592995598
0,164065,165067,1592995794,1592996796
5,162346,165068,1592994075,1592996797
6,162346,165068,1592994075,1592996797
9,164146,165068,1592995875,1592996797
11,164066,165068,1592995795,1592996797
14,162347,165069,1592994076,1592996798
4,161666,166267,1592993395,1592997996
5,165345,166267,1592997074,1592997996
6,165345,166267,1592997074,1592997996
10,164066,166268,1592995795,1592997997
11,165346,166268,1592997075,1592997997
12,164066,166268,1592995795,1592997997
13,162347,166268,1592994076,1592997997
14,165346,166268,1592997075,1592997997
15,162347,166268,1592994076,1592997997
1,169263,170545,1593000992,1593002274
2,169663,170545,1593001392,1593002274
8,169664,170546,1593001393,1593002275
12,169264,170546,1593000993,1593002275
14,169264,170546,1593000993,1593002275
0,169263,171145,1593000992,1593002874
4,169263,171145,1593000992,1593002874
5,169263,171145,1593000992,1593002874
6,169264,171145,1593000993,1593002874
7,169264,171146,1593000993,1593002875
9,169264,171146,1593000993,1593002875
10,169264,171146,1593000993,1593002875
11,169264,171146,1593000993,1593002875
6,171862,172745,1593003591,1593004474
13,169264,173145,1593000993,1593004874
0,172742,173664,1593004471,1593005393
4,171862,173664,1593003591,1593005393
5,172742,173664,1593004471,1593005393
7,171863,173665,1593003592,1593005394
10,172743,173665,1593004472,1593005394
11,172743,173665,1593004472,1593005394
14,170664,173665,1593002393,1593005394
4,175261,176143,1593006990,1593007872
15,169264,177144,1593000993,1593008873
0,176540,177942,1593008269,1593009671
7,176861,178942,1593008590,1593010671
14,180260,181142,1593011989,1593012871
6,180539,181741,1593012268,1593013470
15,180860,181942,1593012589,1593013671
5,182258,183140,1593013987,1593014869
7,182258,183141,1593013987,1593014870
15,182059,183141,1593013788,1593014870
6,181858,183740,1593013587,1593015469
0,184537,185659,1593016266,1593017388
6,184258,186539,1593015987,1593018268
5,185937,186859,1593017666,1593018588
9,185937,186859,1593017666,1593018588
4,185937,187059,1593017666,1593018788
14,185938,187060,1593017667,1593018789
0,185936,187138,1593017665,1593018867
7,185657,187139,1593017386,1593018868
10,185657,187139,1593017386,1593018868
11,185937,187139,1593017666,1593018868
12,185937,187140,1593017666,1593018869
13,185938,187140,1593017667,1593018869
6,187256,188138,1593018985,1593019867
8,187257,188139,1593018986,1593019868
2,188256,189458,1593019985,1593021187
3,188536,189458,1593020265,1593021187
1,188255,189737,1593019984,1593021466
5,187256,189738,1593018985,1593021467
6,188256,189738,1593019985,1593021467
7,187256,189738,1593018985,1593021467
8,188256,189738,1593019985,1593021467
12,187257,189739,1593018986,1593021468
14,187257,189739,1593018986,1593021468
15,188257,189739,1593019986,1593021468
0,187256,190937,1593018985,1593022666
4,187256,190937,1593018985,1593022666
5,189855,190937,1593021584,1593022666
6,189855,190938,1593021584,1593022667
7,189855,190938,1593021584,1593022667
9,187257,190938,1593018986,1593022667
10,187257,190938,1593018986,1593022667
11,187257,190938,1593018986,1593022667
12,189856,190938,1593021585,1593022667
13,187257,190938,1593018986,1593022667
14,189856,190938,1593021585,1593022667
15,190056,190939,1593021785,1593022668
4,191734,192656,1593023463,1593024385
7,191735,192657,1593023464,1593024386
12,191735,192657,1593023464,1593024386
13,191735,192657,1593023464,1593024386
14,191735,192658,1593023464,1593024387
11,191855,192737,1593023584,1593024466
5,193854,195136,1593025583,1593026865
6,193454,195136,1593025183,1593026865
10,194254,195136,1593025983,1593026865
15,194254,195137,1593025983,1593026866
0,194853,195735,1593026582,1593027464
4,193454,195735,1593025183,1593027464
11,193854,195736,1593025583,1593027465
12,194254,195736,1593025983,1593027465
13,193455,195736,1593025184,1593027465
14,193455,195736,1593025184,1593027465
1,196252,197254,1593027981,1593028983
7,193734,197255,1593025463,1593028984
9,196253,197255,1593027982,1593028984
6,195653,197335,1593027382,1593029064
10,196253,197455,1593027982,1593029184
8,196253,197655,1593027982,1593029384
0,196252,198934,1593027981,1593030663
1,197852,198934,1593029581,1593030663
2,196252,199054,1593027981,1593030783
3,196252,199054,1593027981,1593030783
8,198132,199054,1593029861,1593030783
4,196253,199134,1593027982,1593030863
5,196133,199134,1593027862,1593030863
13,196054,199135,1593027783,1593030864
14,196054,199135,1593027783,1593030864
6,197452,199254,1593029181,1593030983
7,198132,199254,1593029861,1593030983
9,198132,199534,1593029861,1593031263
15,196054,199535,1593027783,1593031264
9,199652,200934,1593031381,1593032663
10,197653,201733,1593029382,1593033462
10,202251,203733,1593033980,1593035462
10,203850,205172,1593035579,1593036901
14,204250,205372,1593035979,1593037101
15,203931,205372,1593035660,1593037101
11,196053,205452,1593027782,1593037181
12,196053,205452,1593027782,1593037181
1,204649,205571,1593036378,1593037300
6,204649,205572,1593036378,1593037301
7,204570,205572,1593036299,1593037301
3,204849,206771,1593036578,1593038500
1,205968,206851,1593037697,1593038580
6,205849,207251,1593037578,1593038980
4,204569,207850,1593036298,1593039579
5,204569,207851,1593036298,1593039580
0,205968,207970,1593037697,1593039699
14,207049,208651,1593038778,1593040380
13,207049,208771,1593038778,1593040500
0,208567,209449,1593040296,1593041178
8,210367,211249,1593042096,1593042978
12,210368,211250,1593042097,1593042979
13,210248,211370,1593041977,1593043099
14,210368,211450,1593042097,1593043179
8,211767,212769,1593043496,1593044498
12,211847,212769,1593043576,1593044498
13,211567,212769,1593043296,1593044498
14,211767,212769,1593043496,1593044498
15,211847,212770,1593043576,1593044499
13,213247,214449,1593044976,1593046178
14,213567,214449,1593045296,1593046178
4,215445,216647,1593047174,1593048376
5,215245,216647,1593046974,1593048376
6,215245,216647,1593046974,1593048376
7,215245,216647,1593046974,1593048376
8,214965,216647,1593046694,1593048376
11,215566,216648,1593047295,1593048377
12,215646,216648,1593047375,1593048377
13,214966,216648,1593046695,1593048377
14,214966,216648,1593046695,1593048377
15,215566,216648,1593047295,1593048377
1,215245,217566,1593046974,1593049295
2,215365,217567,1593047094,1593049296
9,215565,217567,1593047294,1593049296
10,215565,217567,1593047294,1593049296
0,215045,218766,1593046774,1593050495
3,215365,218846,1593047094,1593050575
4,218764,219966,1593050493,1593051695
13,218764,220166,1593050493,1593051895
2,217844,220365,1593049573,1593052094
14,218765,220366,1593050494,1593052095
9,217844,220446,1593049573,1593052175
10,217844,220446,1593049573,1593052175
3,218963,220565,1593050692,1593052294
1,218763,221365,1593050492,1593053094
5,218764,221445,1593050493,1593053174
6,217964,221445,1593049693,1593053174
7,217964,221445,1593049693,1593053174
11,218764,221446,1593050493,1593053175
12,218764,221446,1593050493,1593053175
13,220564,221446,1593052293,1593053175
14,220564,221446,1593052293,1593053175
15,217965,221446,1593049694,1593053175
8,218764,222165,1593050493,1593053894
0,218963,222244,1593050692,1593053973
10,222243,223565,1593053972,1593055294
12,222243,223565,1593053972,1593055294
13,222243,223565,1593053972,1593055294
14,222163,223565,1593053892,1593055294
2,222242,223644,1593053971,1593055373
3,222242,223644,1593053971,1593055373
15,222163,223645,1593053892,1593055374
8,222362,223764,1593054091,1593055493
9,222243,223765,1593053972,1593055494
1,222362,223844,1593054091,1593055573
4,222242,223844,1593053971,1593055573
11,222243,223845,1593053972,1593055574
5,222162,224044,1593053891,1593055773
6,222162,224044,1593053891,1593055773
7,222162,224044,1593053891,1593055773
0,222442,224164,1593054171,1593055893
7,225761,226843,1593057490,1593058572
5,225641,226963,1593057370,1593058692
6,225641,226963,1593057370,1593058692
12,225642,226964,1593057371,1593058693
15,225562,226964,1593057291,1593058693
1,225361,229162,1593057090,1593060891
2,225361,229162,1593057090,1593060891
3,225561,229162,1593057290,1593060891
4,225561,229162,1593057290,1593060891
5,227040,229162,1593058769,1593060891
12,227161,229163,1593058890,1593060892
8,225761,229242,1593057490,1593060971
9,225761,229242,1593057490,1593060971
10,225761,229242,1593057490,1593060971
0,225241,229361,1593056970,1593061090
6,227040,229362,1593058769,1593061091
7,227041,229362,1593058770,1593061091
13,225362,229363,1593057091,1593061092
14,225362,229363,1593057091,1593061092
15,227161,229363,1593058890,1593061092
12,229560,230442,1593061289,1593062171
1,229759,230641,1593061488,1593062370
2,229759,230641,1593061488,1593062370
3,229759,230641,1593061488,1593062370
4,229759,230641,1593061488,1593062370
5,229759,230642,1593061488,1593062371
6,229759,230642,1593061488,1593062371
7,229759,230642,1593061488,1593062371
9,229640,230642,1593061369,1593062371
10,229760,230642,1593061489,1593062371
13,229760,230642,1593061489,1593062371
14,229760,230643,1593061489,1593062372
15,229760,230643,1593061489,1593062372
11,225641,230842,1593057370,1593062571
5,230759,233040,1593062488,1593064769
6,230759,233041,1593062488,1593064770
7,230759,233041,1593062488,1593064770
10,230959,233041,1593062688,1593064770
11,230959,233041,1593062688,1593064770
12,230959,233041,1593062688,1593064770
13,230760,233041,1593062489,1593064770
14,230760,233041,1593062489,1593064770
15,230760,233042,1593062489,1593064771
8,229640,233561,1593061369,1593065290
9,230959,233561,1593062688,1593065290
0,231638,233640,1593063367,1593065369
4,230959,233760,1593062688,1593065489
1,231238,233840,1593062967,1593065569
2,231438,233840,1593063167,1593065569
3,231238,233840,1593062967,1593065569
2,235237,236439,1593066966,1593068168
0,235237,236639,1593066966,1593068368
1,235237,236639,1593066966,1593068368
9,236957,237839,1593068686,1593069568
10,236957,237839,1593068686,1593069568
11,236957,237839,1593068686,1593069568
12,236957,237839,1593068686,1593069568
13,236957,237839,1593068686,1593069568
14,236957,237840,1593068686,1593069569
15,236837,237840,1593068566,1593069569
1,236956,237958,1593068685,1593069687
2,236956,237958,1593068685,1593069687
3,236956,237958,1593068685,1593069687
4,236956,237958,1593068685,1593069687
5,236956,237959,1593068685,1593069688
6,236956,237959,1593068685,1593069688
7,236957,238159,1593068686,1593069888
0,237036,239038,1593068765,1593070767
8,236957,239238,1593068686,1593070967
12,238556,239438,1593070285,1593071167
3,238556,240437,1593070285,1593072166
4,238556,240438,1593070285,1593072167
5,239355,240438,1593071084,1593072167
8,239556,240558,1593071285,1593072287
9,239636,240558,1593071365,1593072287
6,239355,240637,1593071084,1593072366
11,239556,240638,1593071285,1593072367
12,239556,240638,1593071285,1593072367
0,239755,240837,1593071484,1593072566
15,239436,240838,1593071165,1593072567
1,239435,241037,1593071164,1593072766
2,239435,241037,1593071164,1593072766
10,239556,241158,1593071285,1593072887
7,239356,241237,1593071085,1593072966
0,241554,242436,1593073283,1593074165
1,241554,242436,1593073283,1593074165
2,241554,242437,1593073283,1593074166
3,241554,242437,1593073283,1593074166
8,241435,242437,1593073164,1593074166
11,241355,242437,1593073084,1593074166
12,241235,242438,1593072964,1593074167
13,239436,242438,1593071165,1593074167
14,239356,242438,1593071085,1593074167
15,241236,242438,1593072965,1593074167
5,241555,242557,1593073284,1593074286
7,241435,242557,1593073164,1593074286
6,241235,242637,1593072964,1593074366
4,242154,243036,1593073883,1593074765
9,241435,243037,1593073164,1593074766
10,241435,243037,1593073164,1593074766
8,247432,248754,1593079161,1593080483
9,247553,248755,1593079282,1593080484
7,247952,248834,1593079681,1593080563
12,247553,248955,1593079282,1593080684
15,247833,249235,1593079562,1593080964
3,248951,249834,1593080680,1593081563
9,248832,250634,1593080561,1593082363
10,247832,250634,1593079561,1593082363
11,247833,250634,1593079562,1593082363
5,247952,250833,1593079681,1593082562
13,247633,250834,1593079362,1593082563
14,247953,250834,1593079682,1593082563
10,250751,251633,1593082480,1593083362
4,247952,252233,1593079681,1593083962
5,251351,252233,1593083080,1593083962
13,251351,252234,1593083080,1593083963
14,251351,252234,1593083080,1593083963
4,252350,253232,1593084079,1593084961
6,253230,254552,1593084959,1593086281
7,253030,255072,1593084759,1593086801
9,254150,255072,1593085879,1593086801
11,254150,255072,1593085879,1593086801
12,254150,255072,1593085879,1593086801
5,254149,255272,1593085878,1593087001
15,254150,255272,1593085879,1593087001
14,254150,255352,1593085879,1593087081
4,254149,255871,1593085878,1593087600
13,254150,255872,1593085879,1593087601
8,255069,256151,1593086798,1593087880
9,255269,256751,1593086998,1593088480
